;stop_id;stop_name;lon;lat;count;geometry;color
5014;1001235;ТЦ «Европарк»;37.37888435;55.76683539;116;POINT (37.37888435 55.76683539);green
5015;1001236;Матвеевская ул.;37.4563113;55.70684579;779;POINT (37.4563113 55.70684579);red
5016;1001237;Мед. Университет;37.49288757;55.64447264;240;POINT (37.49288757 55.64447264);yellow
5017;1001238;5-й мкр. Теплого Стана;37.49115133;55.61505209;39;POINT (37.49115133 55.61505209);blue
5018;1001239;Ул. Генерала Тюленева, 25;37.48723275;55.61837528;39;POINT (37.48723275 55.61837528);blue
5019;1001240;Ул. Ген. Тюленева, 15;37.48281554;55.62245872;39;POINT (37.48281554 55.62245872);blue
5020;1001241;7-й мкр. Теплого Стана;37.48468858;55.62525438;39;POINT (37.48468858 55.62525438);blue
5021;1001243;Ул. Летчика Грицевца, 6;37.30523046;55.6230836;540;POINT (37.30523046 55.6230836);red
5022;1001244;2-й Тушинский пр.;37.42579062;55.83345079;101;POINT (37.42579062 55.83345079);green
5023;1001245;1-й Тушинский пр.;37.42345333;55.83315779;101;POINT (37.42345333 55.83315779);green
5024;1001246;2-й Тушинский пр.;37.42539761;55.83483814;101;POINT (37.42539761 55.83483814);green
5025;1001247;13-й мкр. Тушина;37.41903615;55.8371624;101;POINT (37.41903615 55.8371624);green
5026;1001248;Трамвайное депо;37.38154478;55.79501804;188;POINT (37.38154478 55.79501804);green
5027;1001249;Ул. Маршала Воробьева;37.38257061;55.79296133;188;POINT (37.38257061 55.79296133);green
5028;1001250;Ул. Маршала Воробьева;37.3828257;55.79263499;182;POINT (37.3828257 55.79263499);green
5029;1001251;Проектируемый проезд № 6015;37.38143287;55.79106783;188;POINT (37.38143287 55.79106783);green
5030;1001252;Проектируемый проезд № 6015;37.38097554;55.79001158;182;POINT (37.38097554 55.79001158);green
5031;1001254;Спорткомплекс «ЦСКА»;37.54125856;55.7894263;168;POINT (37.54125856 55.7894263);green
5032;1001255;Ул. Саломеи Нерис;37.39325743;55.84989189;72;POINT (37.39325743 55.84989189);blue
5033;1001256;Ул. Саломеи Нерис;37.39270984;55.85083474;73;POINT (37.39270984 55.85083474);blue
5034;1001257;Золоторожский вал;37.69024885;55.75437017;98;POINT (37.69024885 55.75437017);blue
5035;1001259;Авиамоторная ул., 75;37.7203099;55.73578467;121;POINT (37.7203099 55.73578467);green
5036;1001260;Авиамоторная ул., 75;37.72004199;55.73578515;108;POINT (37.72004199 55.73578515);green
5037;1001261;Батюнинский проезд (ГСПТС);37.70389175;55.66170623;74;POINT (37.70389175 55.66170623);blue
5038;1001262;Батюнинский проезд (ГСПТС);37.70371774;55.6615787;75;POINT (37.70371774 55.6615787);blue
5039;1001263;ТРЦ «РИО»;37.60069086;55.69058664;351;POINT (37.60069086 55.69058664);orange
5040;1001264;Загородное ш.;37.60190198;55.69191474;351;POINT (37.60190198 55.69191474);orange
5041;1001265;55-я городская больница;37.59816584;55.69505474;351;POINT (37.59816584 55.69505474);orange
5042;1001267;5-й Донской пр.;37.59078984;55.70325231;351;POINT (37.59078984 55.70325231);orange
5043;1001268;Метро «Ленинский просп.»;37.58523353;55.70693736;192;POINT (37.58523353 55.70693736);green
5044;1001269;5-й Донской пр.;37.59102926;55.70280382;345;POINT (37.59102926 55.70280382);orange
5045;1001270;55-я городская больница;37.59806592;55.69483526;345;POINT (37.59806592 55.69483526);orange
