post_index;post_address;post_coordinates;post_lat;post_lon
119119;г Москва , Ленинский пр-кт, 42;[55.70283, 37.566704];55.70283;37.566704
119121;г Москва , Ружейный пер, 4, стр.1;[55.743553, 37.580837];55.743553;37.580837
119134;г Москва , Большая ул, 24;[53.858555, 79.02838];53.858555;79.02838
119136;г Москва , Сетуньский 3-Й пр., 16;[55.732315, 37.532997];55.732315;37.532997
119146;г Москва , Комсомольский пр-кт, 31;[55.7247, 37.580246];55.7247;37.580246
119160;г Москва , Фрунзенская наб, 22/2;[55.728455, 37.58927];55.728455;37.58927
119180;г Москва , Полянка Б. ул, 3/9;[55.74124, 37.61684];55.74124;37.61684
119192;г Москва , Винницкая ул, 1;[55.69806, 37.49686];55.69806;37.49686
119200;г Москва , Смоленская-Сенная пл, 30, стр.2;[55.745506, 37.58324];55.745506;37.58324
119234;г Москва , Университетская пл, 1;[55.706127, 37.537766];55.706127;37.537766
119261;г Москва , Ленинский пр-кт, 72/2;[55.686047, 37.54121];55.686047;37.54121
119270;г Москва , Хамовнический Вал ул, 2;[55.716434, 37.575886];55.716434;37.575886
119285;г Москва , Мосфильмовская ул, 34;[55.719822, 37.522182];55.719822;37.522182
119296;г Москва , Ленинский пр-кт, 64/2;[55.69288, 37.552364];55.69288;37.552364
119297;г Москва , Родниковая ул, 16;[55.63519, 37.38487];55.63519;37.38487
119311;г Москва , Вернадского пр-кт, 11/19;[55.68872, 37.528976];55.68872;37.528976
119313;г Москва , Ленинский пр-кт, 93;[55.67529, 37.5281];55.67529;37.5281
119330;г Москва , Университетский пр-кт, 21, к.1;[55.714165, 37.52106];55.714165;37.52106
119331;г Москва , Крупской ул, 19/17;[55.68465, 37.524807];55.68465;37.524807
119333;г Москва , Ленинский пр-кт, 57;[55.696323, 37.56113];55.696323;37.56113
119334;г Москва , Ленинский пр-кт, 41/2;[55.70578, 37.578148];55.70578;37.578148
119361;г Москва , Очаковская Б. ул, 17;[55.68209, 37.45693];55.68209;37.45693
119415;г Москва , Удальцова ул, 14;[55.675785, 37.511444];55.675785;37.511444
119421;г Москва , Новаторов ул, 40, к.16;[55.663486, 37.51938];55.663486;37.51938
119435;г Москва , Новодевичий пр., 10;[55.7299, 37.557533];55.7299;37.557533
119454;г Москва , Коштоянца ул, 33;[55.676872, 37.488445];55.676872;37.488445
119501;г Москва , Веерная ул, 3, к.1;[55.70871, 37.479122];55.70871;37.479122
119517;г Москва , Матвеевская ул, 42, к.4;[55.706703, 37.462215];55.706703;37.462215
119526;г Москва , 26-Ти Бакинских Комиссаров ул, 8, к.2;[55.65916, 37.491325];55.65916;37.491325
119530;г Москва , Очаковское ш, 13, к.2;[55.692898, 37.454887];55.692898;37.454887
119571;г Москва , 26-Ти Бакинских Комиссаров ул, 7, к.4;[55.657368, 37.48534];55.657368;37.48534
119590;г Москва , Довженко ул, 6;[55.72255, 37.51492];55.72255;37.51492
119602;г Москва , Мичуринский Проспект.Олимпийская Деревня ул, 3;[55.676403, 37.467552];55.676403;37.467552
119606;г Москва , Вернадского пр-кт, 84;[55.665142, 37.476776];55.665142;37.476776
119607;г Москва , Мичуринский пр-кт, 47;[55.687237, 37.481915];55.687237;37.481915
119618;г Москва , Богданова ул, 6;[55.658722, 37.409588];55.658722;37.409588
119619;г Москва , Боровский пр., 14;[55.653973, 37.385746];55.653973;37.385746
119620;г Москва , Солнцевский пр-кт, 9;[55.650723, 37.400314];55.650723;37.400314
119633;г Москва , Новопеределкинская ул, 14А;[55.6419, 37.365356];55.6419;37.365356
119634;г Москва , Боровское ш, 37, к.2;[55.63954, 37.36133];55.63954;37.36133
121059;г Москва , Тараса Шевченко наб, 1;[55.74678, 37.57174];55.74678;37.57174
121069;г Москва , Поварская ул, 29/36, стр.1;[55.756588, 37.588303];55.756588;37.588303
121087;г Москва , Багратионовский пр., 1, стр.1;[55.745438, 37.511555];55.745438;37.511555
