;route_id;service_id;monday;tuesday;wednesday;thursday;friday;saturday;sunday;start_date;end_date;count
197;141067;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;2907
198;141067;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;2133
199;141067;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;2907
200;141067;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;2133
201;141068;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;1008
202;141068;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;861
203;141068;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;1008
204;141068;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;861
205;141069;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;989
206;141069;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;828
207;141069;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;989
208;141069;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;828
209;141071;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;1650
210;141071;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;1350
211;141071;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;1620
212;141071;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;1350
213;141072;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;1022
214;141072;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;854
215;141072;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;1022
216;141072;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;854
217;141073;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;1597
218;141073;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;1304
219;141073;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;1597
220;141073;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;1304
221;141074;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;6076
222;141074;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;4552
223;141074;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;6076
224;141074;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;4552
225;141075;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;3280
226;141075;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;2640
227;141075;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;3280
228;141075;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;2640
229;141076;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;928
230;141076;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;832
231;141076;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;928
232;141076;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;832
233;141077;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;4030
234;141077;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;2976
235;141077;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;4030
