Год ввода в эксплуатацию;Дом признан аварийным;Состояние дома;Количество квартир;Количество балконов;Класс энергетической эффективности;Количество подъездов;Количество лифтов;Наибольшее количество этажей;Наименьшее количество этажей;Подземных этажей;house_id;Количество нежилых помещений;Дата проведения энергетического обследования;Формирование фонда кап. ремонта;Площадь парковки м2;Наличие в подъездах приспособлений для нужд маломобильных групп населения;Тип дома;Количество лоджий;Износ здания, %;Дата, на которую установлен износ здания;Основание признания дома аварийным;Площадь многоквартирного дома, кв.м;Дата документа о признании дома аварийным
1969;Нет;Исправный;45;44;Не присвоен;3;;5;5;1;363499;1;;;;;;;;;;;
1961;Нет;Исправный;45;36;Не присвоен;3;;4;4;1;334707;;;На счете регионального оператора;0;;;;;;;;
1971;Нет;Исправный;48;30;Не присвоен;1;1;9;9;;363500;1;;;;;;16;;;;;
1967;Нет;Исправный;70;56;Не присвоен;4;;5;5;1;334708;;;На счете регионального оператора;0;;;;;;;;
1972;Нет;Исправный;66;56;Не присвоен;4;;5;5;1;334709;3;;;;;;;;;;;
1960;Нет;Исправный;36;20;Не присвоен;3;;3;3;1;363501;;;На счете регионального оператора;0;;;;;;;;
1960;Нет;Исправный;36;18;Не присвоен;3;;3;3;1;363502;;;На счете регионального оператора;0;;;;;;;;
1976;Нет;Исправный;70;56;Не присвоен;4;;5;5;1;334710;;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;48;36;Не присвоен;3;;4;4;1;334711;;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;32;24;Не присвоен;2;;4;4;1;334712;3;;;;;;;;;;;
1961;Нет;Исправный;32;24;Не присвоен;2;;4;4;1;334713;1;;;;;;;;;;;
1961;Нет;Исправный;32;24;Не присвоен;2;;4;4;1;334714;1;;;;;;;;;;;
