Год ввода в эксплуатацию;Дом признан аварийным;Состояние дома;Количество квартир;Количество балконов;Класс энергетической эффективности;Количество подъездов;Количество лифтов;Наибольшее количество этажей;Наименьшее количество этажей;Подземных этажей;house_id;Количество нежилых помещений;Дата проведения энергетического обследования;Формирование фонда кап. ремонта;Площадь парковки м2;Наличие в подъездах приспособлений для нужд маломобильных групп населения;Тип дома;Количество лоджий;Износ здания, %;Дата, на которую установлен износ здания;Основание признания дома аварийным;Площадь многоквартирного дома, кв.м;Дата документа о признании дома аварийным
1960;Нет;Исправный;72;60;Не присвоен;4;;5;5;1;334853;8;;;;;;;;;;;
1970;Нет;Исправный;108;104;Не присвоен;8;;5;5;1;334854;10;;;;;;;;;;;
1962;Нет;Исправный;64;56;Не присвоен;4;;5;5;1;334855;1;;На счете регионального оператора;;;;40;;;;;
1971;Нет;Исправный;207;64;Не присвоен;4;4;10;10;;334856;1;;;;;;128;;;;;
1986;Нет;Исправный;84;52;Не присвоен;6;;5;5;1;538605;;;На специальном счете организации;;Нет;;;;;;;
1977;Нет;Исправный;60;88;Не присвоен;1;;5;5;2;334857;2;;;;;;;;;;;
1960;Нет;Исправный;48;36;Не присвоен;3;;4;4;1;334858;;;На счете регионального оператора;0;;;;;;;;
1969;Нет;Исправный;56;48;Не присвоен;4;;5;5;1;334860;1;;;;;;;;;;;
1987;Нет;Исправный;56;36;;3;;5;5;1;540855;;;На специальном счете организации;;;;;;;;;
1970;Нет;Исправный;102;104;Не присвоен;8;;5;5;;334859;19;;На счете регионального оператора;0;;;;;;;;
1987;Нет;Исправный;56;36;Не присвоен;4;;5;5;;540854;;;На специальном счете организации;0;Нет;;;;;;;
1961;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334862;5;;;;;;;;;;;
1962;Нет;Исправный;71;64;Не присвоен;4;;5;5;1;334861;11;;;;;;;;;;;
1962;Нет;Исправный;50;48;Не присвоен;3;;5;5;1;334863;6;;;;;;;;;;;
1969;Нет;Исправный;119;96;Не присвоен;8;;5;5;1;334865;1;;;;;;;;;;;
1969;Нет;Исправный;57;56;Не присвоен;4;;5;5;1;334864;8;;;;;;;;;;;
1986;Нет;Исправный;67;16;Не присвоен;2;2;9;9;;334866;2;;;;;;48;;;;;
1976;Нет;Исправный;112;36;Не присвоен;2;2;9;9;;334867;2;;;;;;48;;;;;
1965;Нет;Исправный;103;96;Не присвоен;6;;5;5;1;334868;13;;;;;;;;;;;
1975;Нет;Исправный;173;;Не присвоен;5;5;9;;;646155;3;;На счете регионального оператора;0;;;180;;;;;
1968;Нет;Исправный;129;104;Не присвоен;8;;5;5;;538607;1;;На специальном счете организации;0;;;;;;;;
1969;Нет;Исправный;92;80;Не присвоен;6;;5;;1;646156;3;;На счете регионального оператора;0;;;;;;;;
1968;Нет;Исправный;130;;A;8;;5;5;;369329;;;На специальном счете организации;;;;;;;;;
1965;Нет;Исправный;64;40;Не присвоен;4;;5;5;1;334869;2;;;;;;;;;;;
1968;Нет;Исправный;79;80;Не присвоен;6;;5;;1;646157;11;;На счете регионального оператора;0;;;;;;;;
1965;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334870;;;;;;;;;;;;
1968;Нет;Исправный;91;;A;6;;5;5;;369330;;;На специальном счете организации;243.87;;;;;;;;
1969;Нет;Исправный;117;80;Не присвоен;3;;5;;;646162;3;;На счете регионального оператора;;;;;;;;;
1968;Нет;Исправный;89;80;Не присвоен;6;;5;;1;646160;1;;На счете регионального оператора;0;;;;;;;;
1969;Нет;Исправный;120;80;Не присвоен;3;;5;;1;646161;;;На счете регионального оператора;;;;;;;;;
1968;Нет;Исправный;90;80;Не присвоен;6;;5;;1;646159;;;На счете регионального оператора;;;;;;;;;
1970;Нет;Исправный;73;80;Не присвоен;6;;5;;1;646158;14;;На счете регионального оператора;0;;;;;;;;
1965;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334871;;;На счете регионального оператора;0;;;;;;;;
1969;Нет;Исправный;48;16;Не присвоен;1;1;9;;1;646163;1;;На счете регионального оператора;;;;32;;;;;
1968;Нет;Исправный;100;80;Не присвоен;6;;5;;1;646164;1;;На счете регионального оператора;0;;;;;;;;
1990;Нет;Исправный;41;36;Не присвоен;3;;5;;1;646165;2;;На счете регионального оператора;0;;;;;;;;
1965;Нет;Исправный;77;62;Не присвоен;4;;5;5;1;334872;3;;На счете регионального оператора;;;;50;;;;;
1968;Нет;Исправный;96;80;Не присвоен;6;;5;;1;646168;;;На счете регионального оператора;0;Нет;;;;;;;
1968;Нет;Исправный;100;80;Не присвоен;6;;5;;1;646167;2;;На счете регионального оператора;0;;;;;;;;
1970;Нет;Исправный;49;16;Не присвоен;1;1;9;;1;646166;2;;На счете регионального оператора;;;;32;;;;;
1969;Нет;Исправный;52;32;Не присвоен;1;1;9;9;1;334873;2;;;;;;18;;;;;
1968;Нет;Исправный;60;36;Не присвоен;4;;5;;1;646170;;;На счете регионального оператора;;;;;;;;;
1968;Нет;Исправный;60;36;Не присвоен;4;;5;;1;646171;;;На счете регионального оператора;;;;;;;;;
1968;Нет;Исправный;109;96;Не присвоен;8;;5;;1;646169;10;;На счете регионального оператора;0;;;;;;;;
1968;Нет;Исправный;100;80;Не присвоен;6;;5;;1;646174;;;На счете регионального оператора;;;;;;;;;
1968;Нет;Исправный;60;36;Не присвоен;4;;5;;1;646173;;;На счете регионального оператора;;;;;;;;;
1968;Нет;Исправный;60;36;Не присвоен;4;;5;;1;646172;;;На счете регионального оператора;;;;;;;;;
1968;Нет;Исправный;54;32;;1;1;;;1;826463;;;;;Нет;Многоквартирный дом;18;;;;;
1971;Нет;Исправный;49;16;Не присвоен;1;1;9;;1;646175;4;;На счете регионального оператора;;;;32;;;;;
1966;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334877;;;На счете регионального оператора;0;;;;;;;;
1965;Нет;Исправный;54;32;Не присвоен;1;1;9;9;1;334875;;;На счете регионального оператора;;;;18;;;;;
1965;Нет;Исправный;90;80;Не присвоен;6;;5;5;1;334876;;;На счете регионального оператора;0;;;;;;;;
1971;Нет;Исправный;48;16;Не присвоен;1;1;9;9;1;540868;6;;;;;;36;;;;;
1965;Нет;Исправный;36;36;Не присвоен;3;;5;5;1;334878;7;;;;;;;;;;;
1965;Нет;Исправный;73;80;Не присвоен;6;;5;5;1;334879;15;;;;;;;;;;;
1965;Нет;Исправный;72;80;Не присвоен;6;;5;5;1;334880;14;;;;;;;;;;;
1971;Нет;Исправный;50;16;Не присвоен;1;1;9;;1;646176;3;;На счете регионального оператора;;;;32;;;;;
1971;Нет;Исправный;53;16;Не присвоен;1;1;9;;1;646177;1;;На счете регионального оператора;;;;32;;;;;
1970;Нет;Исправный;53;16;Не присвоен;1;1;9;;1;646178;1;;На счете регионального оператора;;;;32;;;;;
1966;Нет;Исправный;90;80;Не присвоен;6;;5;;1;646181;;;На счете регионального оператора;;;;;;;;;
1966;Нет;Исправный;90;80;Не присвоен;6;;5;;1;646180;;;На счете регионального оператора;;;;;;;;;
1966;Нет;Исправный;80;80;Не присвоен;6;;5;;1;646179;10;;На счете регионального оператора;0;;;;;;;;
1977;Нет;Исправный;25;;Не присвоен;1;1;9;;1;646183;3;;;;;;27;;;;;
1976;Нет;Исправный;214;;Не присвоен;6;6;9;;1;646182;5;;;;;;99;;;;;
1977;Нет;Исправный;106;;Не присвоен;3;3;9;;1;646184;2;;;;;;54;;;;;
1977;Нет;Исправный;105;;Не присвоен;3;3;9;;1;646187;3;;;;;;57;;;;;
1978;Нет;Исправный;25;;Не присвоен;1;1;9;;;646186;;;На счете регионального оператора;;;;24;;;;;
1987;Нет;Исправный;70;104;Не присвоен;1;2;14;;2;646190;5;;;;;;;;;;;
1985;Нет;Исправный;72;;D;2;2;9;;1;646189;;30.12.2013;;;;;54;;;;;
1977;Нет;Исправный;140;;Не присвоен;4;4;9;;;646188;2;;На счете регионального оператора;0;;;54;;;;;
1978;Нет;Исправный;133;;Не присвоен;4;4;9;;1;646185;8;;;;;;57;;;;;
1966;Нет;Исправный;97;76;Не присвоен;8;;5;;1;646191;16;;На счете регионального оператора;0;;;;;;;;
1977;Нет;Исправный;91;60;Не присвоен;6;;5;;1;646194;4;;На счете регионального оператора;0;;;;;;;;
1977;Нет;Исправный;130;;Не присвоен;4;4;9;;1;646192;14;;;;;;70;;;;;
1977;Нет;Исправный;101;;Не присвоен;3;3;9;;1;646193;6;;;;;;72;;;;;
1966;Нет;Исправный;100;60;Не присвоен;6;;5;;1;646195;1;;На счете регионального оператора;0;;;;;;;;
1977;Нет;Исправный;24;18;Не присвоен;1;1;9;;1;646196;3;;На счете регионального оператора;;;;18;;;;;
1978;Нет;Исправный;100;60;Не присвоен;6;;5;;1;646198;1;;На счете регионального оператора;0;;;;;;;;
1977;Нет;Исправный;35;;Не присвоен;1;1;9;;1;646197;1;;;;;;18;;;;;
1970;Нет;Исправный;48;16;Не присвоен;1;1;9;;1;646199;4;;На счете регионального оператора;;;;32;;;;;
1977;Нет;Исправный;70;;;4;;5;;;537260;;;;;;Многоквартирный дом;;;;;;
1978;Нет;Исправный;70;;B;4;;5;5;1;538604;;;;;;;;;;;;
1977;Нет;Исправный;127;;Не присвоен;4;4;9;;1;646200;14;;;;;;74;;;;;
1967;Нет;Исправный;90;60;Не присвоен;6;;5;;1;646203;;;На счете регионального оператора;;;;;;;;;
1967;Нет;Исправный;90;60;Не присвоен;6;;5;;;646202;;;На счете регионального оператора;0;Нет;;;;;;;
1967;Нет;Исправный;75;60;Не присвоен;6;;5;;1;646201;10;;На счете регионального оператора;0;;;;;;;;
1977;Нет;Исправный;102;;Не присвоен;3;3;9;;1;646206;1;;;;;;40;;;;;
1977;Нет;Исправный;129;;Не присвоен;4;4;9;;1;646205;11;;;;;;70;;;;;
1977;Нет;Исправный;24;9;Не присвоен;1;1;9;;1;646204;3;;На счете регионального оператора;;;;18;;;;;
1967;Нет;Исправный;101;76;Не присвоен;8;;5;;1;646207;18;;На счете регионального оператора;0;;;;;;;;
1966;Нет;Исправный;99;76;Не присвоен;6;;5;1;1;646208;;;На счете регионального оператора;0;;;;;;;;
1978;Нет;Исправный;130;89;Не присвоен;4;4;9;9;;420848;12;;;;;;54;;;;;
1970;Нет;Исправный;50;16;Не присвоен;1;1;9;;1;646209;1;;На счете регионального оператора;;;;32;;;;;
1983;Нет;Исправный;93;63;Не присвоен;3;3;9;9;;420849;7;;На счете регионального оператора;;;;45;;;;;
2010;Нет;Исправный;112;;А (Очень высокий);1;2;16;1;1;159091;4;;;;;;40;;;;;
1972;Нет;Исправный;240;80;Не присвоен;5;5;10;;1;646210;2;;На счете регионального оператора;;;;160;;;;;
1980;Нет;Исправный;126;122;;4;4;;;1;826468;12;;;;;;18;;;;;
1970;Нет;Исправный;56;36;C;4;;5;5;1;463396;;;На специальном счете организации;;;;;;;;;
1970;Нет;Исправный;114;68;Не присвоен;8;;5;;1;646211;;;На счете регионального оператора;;;;;;;;;
1978;Нет;Исправный;69;54;Не присвоен;2;2;9;9;;420851;7;;;;;;18;;;;;
1970;Нет;Исправный;90;;;6;;5;;1;536161;;;;;Нет;Многоквартирный дом;;31;;;;
1970;Нет;Исправный;114;68;Не присвоен;8;;5;;1;646213;;;На счете регионального оператора;;;;;;;;;
1970;Нет;Исправный;89;66;;6;;;;1;851004;1;;;;Нет;Многоквартирный дом;;;;;;
1973;Нет;Исправный;519;192;Не присвоен;10;10;10;;1;646212;7;;На счете регионального оператора;;;;32;;;;;
1970;Нет;Исправный;55;36;Не присвоен;4;;5;;1;646214;;;На счете регионального оператора;;;;;;;;;
1978;Нет;Исправный;25;18;Не присвоен;1;1;9;9;;420852;3;;;;;;27;;;;;
1970;Нет;Исправный;90;60;Не присвоен;6;;5;;1;646215;;;На счете регионального оператора;;;;;;;;;
1970;Нет;Исправный;90;60;Не присвоен;6;;5;;1;646216;;;На счете регионального оператора;;;;;;;;;
1971;Нет;Исправный;86;52;Не присвоен;6;;5;;1;646218;1;;На счете регионального оператора;0;;;;;;;;
1975;Нет;Исправный;239;70;Не присвоен;5;5;9;;1;646217;12;;На счете регионального оператора;;;;140;;;;;
1971;Нет;Исправный;86;52;Не присвоен;6;;5;;1;646219;;;На счете регионального оператора;;;;;;;;;
1978;Нет;Исправный;136;122;Не присвоен;4;4;9;9;;420853;4;;;;;;18;;;;;
1978;Нет;Исправный;57;;Не присвоен;2;2;9;;1;646220;4;;;;;;30;;;;;
1981;Нет;Исправный;99;54;;3;3;9;;1;536136;3;;;;;;;;;;;
1977;Нет;Исправный;219;180;Не присвоен;4;4;9;9;1;420854;5;;На счете регионального оператора;;;;;;;;;
1975;Нет;Исправный;89;64;;6;;5;;1;540355;;;;;Нет;;;;;;;
1977;Нет;Исправный;117;90;Не присвоен;2;2;9;9;2;420855;3;;На счете регионального оператора;;;;;;;;;
1986;Нет;Исправный;72;36;Не присвоен;2;2;9;9;1;420856;;;На счете регионального оператора;;;;36;;;;;
